parent	child
Diffuse Glioma (DIFG)	Oligodendroglioma (ODG)
Ampullary Carcinoma (AMPCA)	Intestinal Ampullary Carcinoma (IAMPCA)
Pineal Tumor (PINT)	Pineal Parenchymal Tumor of Intermediate Differentiation (PPTID)
Cystic Tumor of the Pancreas (PACT)	Mucinous Cystic Neoplasm (MCN)
Salivary Gland–Type Tumor of the Lung (SGTTL)	Mucoepidermoid Carcinoma of the Lung (LUMEC)
Miscellaneous Neuroepithelial Tumor (MNET)	Angiocentric Glioma (ANGL)
Sellar Tumor (SELT)	Pituicytoma (PTCY)
Thymic Epithelial Tumor (TET)	Thymic Carcinoma (THYC)
T-Cell and Natural Killer Lymphoma (TNKL)	Cutaneous T-Cell Lymphoma (CTCL)
Ovarian Epithelial Tumor (OVT)	Endometrioid Ovarian Cancer (EOV)
Myeloproliferative Neoplasm (MPN)	Essential Thrombocythaemia (ETC)
Miscellaneous Brain Tumor (MBT)	Malignant Lymphoma (MLYM)
Phyllodes Tumor of the Breast (PT)	Malignant Phyllodes Tumor of the Breast (MPT)
Large Cell Lung Carcinoma (LCLC)	Lymphoepithelioma-like Carcinoma of the Lung (LECLC)
Sellar Tumor (SELT)	Spindle Cell Oncocytoma of the Adenohypophysis (SCOAH)
Melanoma (MEL)	Desmoplastic Melanoma (DESM)
Renal Clear Cell Carcinoma (CCRCC)	Renal Clear Cell Carcinoma with Sarcomatoid Features (SCCRCC)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Clear Cell Papillary Renal Cell Carcinoma (CCPRC)
Stomach Adenocarcinoma (STAD)	Intestinal Type Stomach Adenocarcinoma (ISTAD)
Ovarian Epithelial Tumor (OVT)	Clear Cell Borderline Ovarian Tumor (CCBOV)
Melanoma (MEL)	Genitourinary Mucosal Melanoma (GMUCM)
Non-Small Cell Lung Cancer (NSCLC)	Poorly Differentiated Non-Small Cell Lung Cancer (NSCLCPD)
Acute Lymphoid Leukemia (ALL)	T-Cell Acute Lymphoid Leukemia (TALL)
Pleural Mesothelioma (PLMESO)	Pleural Mesothelioma, Sarcomatoid Type (PLSMESO)
B-Cell Lymphoma (BCL)	Mediastinal Large B-Cell Lymphoma (MBCL)
Large Cell Lung Carcinoma (LCLC)	Basaloid Large Cell Carcinoma of the Lung (BLCLC)
Endometrial Carcinoma (UCEC)	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma (USC)
Non-Seminomatous Germ Cell Tumor (NSGCT)	Choriocarcinoma (TCCA)
Gestational Trophoblastic Disease (GTD)	Molar Pregnancy (MP)
Osteosarcoma (OS)	Periosteal Osteosarcoma (PEOS)
Endometrial Carcinoma (UCEC)	Uterine Mucinous Carcinoma (UMC)
Choroid Plexus Tumor (CPT)	Choroid Plexus Carcinoma (CPC)
Glioblastoma (GB)	Gliosarcoma (GSARC)
Non-Seminomatous Germ Cell Tumor (NSGCT)	Embryonal Carcinoma (EMBCA)
T-Cell and Natural Killer Lymphoma (TNKL)	Peripheral T-Cell Lymphoma (PTCL)
Chondrosarcoma (CHS)	Dedifferentiated Chondrosarcoma (DDCHS)
Urethral Cancer (UCA)	Urethral Urothelial Carcinoma (UCU)
Head and Neck Squamous Cell Carcinoma (HNSC)	Oropharynx Squamous Cell Carcinoma (OPHSC)
Renal Non-Clear Cell Carcinoma (NCCRCC)	Renal Mucinous Tubular Spindle Cell Carcinoma (MTSCC)
Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)
Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)
B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
Invasive Breast Carcinoma (BRCA)	Breast Invasive Carcinoma, NOS (BRCNOS)
Uterine Sarcoma/Mesenchymal (USARC)	Uterine Sarcoma, Other (OUSARC)
Germ Cell Tumor of the Vulva (VGCT)	Mature Teratoma (VMT)
Mucinous Carcinoma (CEMU)	Intestinal Type Mucinous Carcinoma (ICEMU)
Uterine Smooth Muscle Tumor (USMT)	Uterine Myxoid Leiomyosarcoma (UMLMS)
Invasive Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)
Cervical Adenocarcinoma (CEAD)	Mesonephric Carcinoma (CEMN)
Stomach Adenocarcinoma (STAD)	Diffuse Type Stomach Adenocarcinoma (DSTAD)
Ependymomal Tumor (EPMT)	Ependymoma (EPM)
Meningothelial Tumor (MNGT)	Solitary Fibrous Tumor of the Central Nervous System (SFTCNS)
Uterine Sarcoma/Mesenchymal (USARC)	Uterine Smooth Muscle Tumor (USMT)
Endometrial Carcinoma (UCEC)	Uterine Mixed Endometrial Carcinoma (UMEC)
Salivary Carcinoma (SACA)	Salivary Adenocarcinoma (SAAD)
Non-Hodgkin Lymphoma (NHL)	B-Cell Lymphoma (BCL)
Ovarian Epithelial Tumor (OVT)	Ovarian Seromucinous Carcinoma (OSMCA)
Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)
Melanoma (MEL)	Melanoma of Unknown Primary (MUP)
Liposarcoma (LIPO)	Well-Differentiated Liposarcoma (WDLS)
Osteosarcoma (OS)	Secondary Osteosarcoma (SECOS)
Invasive Breast Carcinoma (BRCA)	Breast Invasive Mixed Mucinous Carcinoma (IMMC)
Nerve Sheath Tumor (NST)	Neurofibroma (NFIB)
Head and Neck Carcinoma, Other (OHNCA)	Odontogenic Carcinoma (ODGC)
Chondrosarcoma (CHS)	Mesenchymal Chondrosarcoma (MCHS)
Renal Cell Carcinoma (RCC)	Renal Non-Clear Cell Carcinoma (NCCRCC)
